"name","word","count"
"日本","日本","1672.05"
"河童","河童","610.439"
"台灣","台灣","493.047"
"列車","列車","422.611"
"神社","神社","411.739"
"網站","網站","410.872"
"遊戲","遊戲","410.872"
"日文","日文","406.963"
"東京","東京","363.915"
"家康","家康","358.458"
"租車","租車","305.219"
"御家人","御家人","303.773"
"電影","電影","293.48"
"日圓","日圓","258.262"
"密室","密室","249.87"
"賴朝","賴朝","246.523"
"介紹","介紹","246.523"
"逃脫","逃脫","234.784"
"價格","價格","223.045"
"招財貓","招財貓","223.045"
"喜歡","喜歡","223.045"
"靈異","靈異","223.045"
"和服","和服","213.423"
"車站","車站","211.306"
"氣流","氣流","211.306"
"祭典","祭典","200.306"
"身體","身體","199.566"
"駕照","駕照","199.566"
"食物","食物","189.707"
"儀式","儀式","187.827"
"阿菊","阿菊","187.827"
"元軍","元軍","187.827"
"國家","國家","187.827"
"交通","交通","184.303"
"詹姆斯","詹姆斯","180.057"
"女生","女生","177.442"
"問題","問題","176.088"
"漫畫","漫畫","176.088"
"活動","活動","176.088"
"吹風機","吹風機","176.088"
"東西","東西","176.088"
"東京都","東京都","176.088"
"穿著","穿著","169.525"
"真人","真人","164.926"
"防災","防災","164.349"
"規格","規格","164.349"
"將軍","將軍","164.349"
"電車","電車","164.349"
"景點","景點","164.349"
"主膳","主膳","164.349"
"參拜","參拜","164.349"
"鬼屋","鬼屋","152.907"
"乾杯","乾杯","152.61"
"進行","進行","152.61"
"高麗","高麗","152.61"
"服務","服務","152.61"
"餐廳","餐廳","152.61"
"設計","設計","152.61"
"隧道","隧道","145.036"
"筷子","筷子","142.456"
"發售日","發售日","140.87"
"進入","進入","140.87"
"可愛","可愛","140.87"
"自殺","自殺","140.87"
"建議","建議","140.87"
"體驗","體驗","140.87"
"政權","政權","140.87"
"地址","地址","130.427"
"準備","準備","129.131"
"泡湯","泡湯","129.131"
"新幹線","新幹線","129.131"
"行駛","行駛","129.131"
"旅遊","旅遊","129.131"
"小時","小時","129.131"
"比較","比較","129.131"
"感覺","感覺","129.131"
"樂園","樂園","129.131"
"機會","機會","129.131"
"人類","人類","129.131"
"櫻花","櫻花","129.131"
"北条","北条","128.021"
"娃娃","娃娃","123.009"
"女性","女性","120.457"
"富士山","富士山","119.418"
"男生","男生","118.69"
"捕獲","捕獲","117.392"
"舉辦","舉辦","117.392"
"觀光","觀光","117.392"
"地區","地區","117.392"
"欣賞","欣賞","117.392"
"習慣","習慣","117.392"
"貓咪","貓咪","117.392"
"資訊","資訊","117.392"
"社會","社會","117.392"
"江戶","江戶","117.392"
"興趣","興趣","117.392"
"順滑","順滑","117.392"
"頭髮","頭髮","117.392"
"車廂","車廂","117.392"
"大將軍","大將軍","117.392"
