"name","word","count"
"日本","日本","866.063"
"熊本","熊本","675.777"
"料理","料理","558.523"
"東京","東京","540.003"
"店家","店家","530.09"
"地址","地址","506.363"
"電話","電話","504.786"
"貓頭鷹","貓頭鷹","469.568"
"美味","美味","457.645"
"大阪","大阪","432.858"
"營業時間","營業時間","410.872"
"口味","口味","398.775"
"口感","口感","380.746"
"列車","列車","340.437"
"可愛","可愛","340.437"
"冰淇淋","冰淇淋","336.541"
"咖哩","咖哩","319.173"
"咖啡","咖啡","318.996"
"便當","便當","316.959"
"官網","官網","316.959"
"美食","美食","309.286"
"湯頭","湯頭","305.219"
"蕎麥","蕎麥","305.219"
"限定","限定","296.805"
"市場","市場","293.48"
"海鮮","海鮮","281.741"
"壽司","壽司","281.741"
"喜歡","喜歡","270.002"
"東京都","東京都","258.262"
"食材","食材","246.523"
"濃郁","濃郁","234.784"
"咖啡廳","咖啡廳","234.784"
"介紹","介紹","234.784"
"銀座","銀座","234.784"
"蛋糕","蛋糕","226.691"
"服務","服務","223.045"
"傳統","傳統","211.306"
"預約","預約","211.306"
"甜點","甜點","199.566"
"店內","店內","199.566"
"販售","販售","199.566"
"北海道","北海道","191.664"
"日式","日式","189.14"
"新鮮","新鮮","187.827"
"網站","網站","187.827"
"推薦","推薦","187.827"
"價格","價格","187.827"
"搭配","搭配","186.617"
"草莓","草莓","182.856"
"日圓","日圓","176.088"
"風味","風味","176.088"
"漢堡","漢堡","176.088"
"生魚片","生魚片","176.088"
"期間","期間","176.088"
"旅遊","旅遊","164.349"
"巨無霸","巨無霸","164.349"
"資訊","資訊","164.349"
"起司","起司","164.349"
"早餐","早餐","163.35"
"京都","京都","161.074"
"巧克力","巧克力","157.194"
"富士","富士","156.524"
"味道","味道","154.044"
"餐廳","餐廳","152.61"
"澀谷","澀谷","152.61"
"嘗試","嘗試","152.61"
"比較","比較","152.61"
"餐點","餐點","152.61"
"車站","車站","152.61"
"簡單","簡單","152.61"
"濃厚","濃厚","152.61"
"蔬菜","蔬菜","144.415"
"千層","千層","140.87"
"心經","心經","140.87"
"台灣","台灣","140.87"
"滿足","滿足","140.87"
"雞蛋","雞蛋","140.87"
"丁目","丁目","140.87"
"人氣","人氣","140.87"
"冰品","冰品","140.87"
"好吃","好吃","137.676"
"便利商店","便利商店","137.658"
"日文","日文","135.654"
"份量","份量","129.343"
"品嚐","品嚐","129.131"
"福岡","福岡","129.131"
"咖啡館","咖啡館","129.131"
"蛋黃","蛋黃","129.131"
"感覺","感覺","129.131"
"炸物","炸物","129.131"
"章魚燒","章魚燒","129.131"
"官方網站","官方網站","129.131"
"天婦","天婦","129.131"
"冰棒","冰棒","129.131"
"點心","點心","129.131"
"宇治","宇治","128.021"
"提供","提供","126.472"
"小丸子","小丸子","122.912"
"食物","食物","120.148"
"下酒菜","下酒菜","118.417"
