"name","word","count"
"體驗","體驗","2617.84"
"建築","建築","2430.02"
"飯店","飯店","2359.58"
"活動","活動","2324.36"
"遊客","遊客","2113.06"
"新加坡","新加坡","2100.45"
"台灣","台灣","2030.88"
"景點","景點","1819.58"
"歷史","歷史","1725.66"
"酒店","酒店","1641.03"
"設計","設計","1573.05"
"美麗","美麗","1573.05"
"美食","美食","1510.04"
"傳統","傳統","1490.88"
"餐廳","餐廳","1467.4"
"公園","公園","1396.97"
"旅行","旅行","1282.07"
"特色","特色","1270.48"
"藝術","藝術","1220.88"
"欣賞","欣賞","1197.4"
"步道","步道","1135.85"
"日本","日本","1116.37"
"國家","國家","1115.22"
"風格","風格","1056.53"
"旅遊","旅遊","1033.05"
"空間","空間","1009.57"
"澳門","澳門","1009.57"
"享受","享受","988.112"
"獨特","獨特","986.093"
"文化","文化","956.737"
"感受","感受","951.37"
"免費","免費","903.919"
"旅人","旅人","889.669"
"進入","進入","868.701"
"城市","城市","847.56"
"市集","市集","847.087"
"觀賞","觀賞","833.484"
"人們","人們","833.484"
"房間","房間","821.744"
"美景","美景","814.553"
"地區","地區","810.005"
"豐富","豐富","798.266"
"料理","料理","783.599"
"主題","主題","763.048"
"廣場","廣場","751.309"
"設施","設施","739.57"
"景觀","景觀","739.57"
"造訪","造訪","739.57"
"園區","園區","716.091"
"濱海","濱海","716.091"
"世界","世界","707.54"
"喜歡","喜歡","704.352"
"地點","地點","692.613"
"小時","小時","692.613"
"服務","服務","692.613"
"時尚","時尚","680.874"
"旅客","旅客","670.689"
"博物館","博物館","669.135"
"風情","風情","657.395"
"公尺","公尺","656.838"
"放鬆","放鬆","645.656"
"氛圍","氛圍","645.656"
"花園","花園","645.656"
"住宿","住宿","642.344"
"距離","距離","633.917"
"參觀","參觀","622.178"
"火車","火車","622.178"
"溫泉","溫泉","622.178"
"熱鬧","熱鬧","622.178"
"前往","前往","618.485"
"美術館","美術館","610.439"
"舒適","舒適","610.439"
"規劃","規劃","598.699"
"期間","期間","598.699"
"機會","機會","598.699"
"美味","美味","592.246"
"入住","入住","587.656"
"中國","中國","586.96"
"咖啡","咖啡","583.529"
"旅館","旅館","575.221"
"準備","準備","563.482"
"提供","提供","562.099"
"京都","京都","552.254"
"彩繪","彩繪","551.743"
"峽谷","峽谷","551.743"
"東京","東京","551.743"
"舉辦","舉辦","551.743"
"慶祝","慶祝","551.743"
"粉絲","粉絲","551.743"
"搭乘","搭乘","544.672"
"生活","生活","542.162"
"滿足","滿足","540.003"
"觀光","觀光","540.003"
"美國","美國","528.264"
"簡單","簡單","528.264"
"環境","環境","516.525"
"抵達","抵達","516.525"
"行館","行館","516.525"
"地方","地方","507.828"
"度假","度假","493.938"
