"name","word","count"
"活動","活動","2476.97"
"旅遊","旅遊","2206.97"
"台灣","台灣","1972.19"
"體驗","體驗","1772.62"
"新加坡","新加坡","1610.1"
"遊客","遊客","1408.7"
"日本","日本","1236.52"
"溫泉","溫泉","1220.88"
"國家","國家","1220.88"
"優惠","優惠","1185.66"
"景點","景點","1138.7"
"機場","機場","1126.96"
"期間","期間","1056.53"
"公園","公園","1033.05"
"旅行","旅行","995.393"
"旅客","旅客","969.671"
"韓國","韓國","892.18"
"美麗","美麗","892.18"
"澳洲","澳洲","891.75"
"觀光","觀光","821.744"
"免費","免費","739.57"
"櫻花","櫻花","704.352"
"規劃","規劃","692.613"
"傳統","傳統","692.613"
"舉辦","舉辦","680.874"
"東京","東京","680.874"
"美食","美食","673.153"
"熱門","熱門","657.395"
"城市","城市","653.12"
"獨特","獨特","645.656"
"歐洲","歐洲","645.656"
"國際","國際","645.656"
"機會","機會","610.439"
"航空","航空","607.788"
"台北","台北","601.036"
"提供","提供","590.204"
"歷史","歷史","586.96"
"春節","春節","563.482"
"泰國","泰國","563.482"
"特色","特色","563.203"
"享受","享受","558.219"
"行程","行程","557.235"
"住宿","住宿","555.541"
"前往","前往","550.519"
"搭乘","搭乘","544.672"
"現場","現場","540.003"
"造訪","造訪","540.003"
"主題","主題","540.003"
"設計","設計","516.525"
"出發","出發","516.525"
"建築","建築","504.786"
"機票","機票","504.786"
"欣賞","欣賞","504.786"
"小時","小時","493.047"
"經典","經典","493.047"
"美國","美國","481.307"
"地點","地點","481.307"
"展覽","展覽","469.568"
"風格","風格","469.568"
"感受","感受","461.897"
"亞洲","亞洲","457.829"
"鐵道","鐵道","457.829"
"服務","服務","422.611"
"豐富","豐富","422.611"
"推薦","推薦","422.611"
"喜歡","喜歡","422.611"
"購買","購買","422.611"
"民眾","民眾","422.611"
"風情","風情","422.611"
"料理","料理","416.808"
"文化","文化","412.211"
"市場","市場","410.872"
"時尚","時尚","410.872"
"滑雪","滑雪","410.391"
"海芋","海芋","409.433"
"餐廳","餐廳","399.133"
"賞櫻","賞櫻","399.133"
"音樂","音樂","399.133"
"步道","步道","396.226"
"邀請","邀請","387.394"
"全球","全球","387.262"
"地區","地區","375.655"
"園區","園區","375.655"
"藝術","藝術","375.655"
"路線","路線","375.655"
"世界","世界","366.872"
"旅程","旅程","366.783"
"旅館","旅館","363.915"
"樂園","樂園","363.915"
"購物","購物","363.915"
"夜市","夜市","361.819"
"門票","門票","352.176"
"飯店","飯店","352.176"
"澳門","澳門","352.176"
"知名","知名","347.06"
"全台","全台","342.473"
"參加","參加","340.437"
"親子","親子","340.437"
"這次","這次","340.437"
"兒童","兒童","328.698"
