"name","word","count"
"日本","日本","1672.05"
"河童","河童","610.439"
"台灣","台灣","493.047"
"列車","列車","422.611"
"神社","神社","411.739"
"遊戲","遊戲","410.872"
"網站","網站","410.872"
"日文","日文","406.963"
"東京","東京","363.915"
"家康","家康","358.458"
"租車","租車","305.219"
"御家人","御家人","303.773"
"電影","電影","293.48"
"日圓","日圓","258.262"
"密室","密室","249.87"
"介紹","介紹","246.523"
"賴朝","賴朝","246.523"
"逃脫","逃脫","234.784"
"靈異","靈異","223.045"
"價格","價格","223.045"
"招財貓","招財貓","223.045"
"喜歡","喜歡","223.045"
"和服","和服","213.423"
"車站","車站","211.306"
"氣流","氣流","211.306"
