"name","word","count"
"日本","日本","866.063"
"熊本","熊本","675.777"
"料理","料理","558.523"
"東京","東京","540.003"
"店家","店家","530.09"
"地址","地址","506.363"
"電話","電話","504.786"
"貓頭鷹","貓頭鷹","469.568"
"美味","美味","457.645"
"大阪","大阪","432.858"
"營業時間","營業時間","410.872"
"口味","口味","398.775"
"口感","口感","380.746"
"可愛","可愛","340.437"
"列車","列車","340.437"
"冰淇淋","冰淇淋","336.541"
"咖哩","咖哩","319.173"
"咖啡","咖啡","318.996"
"便當","便當","316.959"
"官網","官網","316.959"
"美食","美食","309.286"
"湯頭","湯頭","305.219"
"蕎麥","蕎麥","305.219"
"限定","限定","296.805"
"市場","市場","293.48"
