"name","word","count"
"體驗","體驗","2617.84"
"建築","建築","2430.02"
"飯店","飯店","2359.58"
"活動","活動","2324.36"
"遊客","遊客","2113.06"
"新加坡","新加坡","2100.45"
"台灣","台灣","2030.88"
"景點","景點","1819.58"
"歷史","歷史","1725.66"
"酒店","酒店","1641.03"
"美麗","美麗","1573.05"
"設計","設計","1573.05"
"美食","美食","1510.04"
"傳統","傳統","1490.88"
"餐廳","餐廳","1467.4"
"公園","公園","1396.97"
"旅行","旅行","1282.07"
"特色","特色","1270.48"
"藝術","藝術","1220.88"
"欣賞","欣賞","1197.4"
"步道","步道","1135.85"
"日本","日本","1116.37"
"國家","國家","1115.22"
"風格","風格","1056.53"
"旅遊","旅遊","1033.05"
