"name","word","count"
"活動","活動","2476.97"
"旅遊","旅遊","2206.97"
"台灣","台灣","1972.19"
"體驗","體驗","1772.62"
"新加坡","新加坡","1610.1"
"遊客","遊客","1408.7"
"日本","日本","1236.52"
"國家","國家","1220.88"
"溫泉","溫泉","1220.88"
"優惠","優惠","1185.66"
"景點","景點","1138.7"
"機場","機場","1126.96"
"期間","期間","1056.53"
"公園","公園","1033.05"
"旅行","旅行","995.393"
"旅客","旅客","969.671"
"韓國","韓國","892.18"
"美麗","美麗","892.18"
"澳洲","澳洲","891.75"
"觀光","觀光","821.744"
"免費","免費","739.57"
"櫻花","櫻花","704.352"
"傳統","傳統","692.613"
"規劃","規劃","692.613"
"東京","東京","680.874"
