"name","word","count"
"日本","日本","3128.84"
"東京","東京","1843.06"
"神社","神社","1513.42"
"櫻花","櫻花","974.354"
"地址","地址","951.349"
"景點","景點","950.876"
"公園","公園","939.136"
"溫泉","溫泉","915.658"
"大阪","大阪","847.68"
"熊本","熊本","838.464"
"觀光","觀光","821.744"
"車站","車站","821.744"
"電車","電車","786.527"
"列車","列車","774.787"
"台灣","台灣","774.787"
"搭乘","搭乘","739.198"
"資訊","資訊","716.091"
"旅遊","旅遊","692.613"
"歷史","歷史","680.874"
"旅館","旅館","669.135"
"體驗","體驗","657.395"
"電話","電話","645.656"
"介紹","介紹","645.656"
"東京都","東京都","633.917"
"日圓","日圓","633.917"
