"name","word","count"
"旅行","旅行","4793.81"
"台灣","台灣","2653.06"
"旅遊","旅遊","2570.89"
"景點","景點","1913.49"
"路線","路線","1819.58"
"金門","金門","1713.92"
"國家","國家","1526.1"
"體驗","體驗","1244.36"
"歷史","歷史","1115.22"
"行程","行程","1106.51"
"遊客","遊客","986.093"
"活動","活動","962.615"
"搭乘","搭乘","933.724"
"好行","好行","927.397"
"旅程","旅程","926.61"
"規劃","規劃","903.919"
"建築","建築","892.18"
"美麗","美麗","868.701"
"自助","自助","857.278"
"台南","台南","843.551"
"電影","電影","821.744"
"古蹟","古蹟","810.005"
"喜歡","喜歡","798.266"
"車站","車站","798.266"
"公園","公園","786.527"
