"name","word","count"
"日本","日本","3128.84"
"東京","東京","1843.06"
"神社","神社","1513.42"
"櫻花","櫻花","974.354"
"地址","地址","951.349"
"景點","景點","950.876"
"公園","公園","939.136"
"溫泉","溫泉","915.658"
"大阪","大阪","847.68"
"熊本","熊本","838.464"
"觀光","觀光","821.744"
"車站","車站","821.744"
"電車","電車","786.527"
"台灣","台灣","774.787"
"列車","列車","774.787"
"搭乘","搭乘","739.198"
"資訊","資訊","716.091"
"旅遊","旅遊","692.613"
"歷史","歷史","680.874"
"旅館","旅館","669.135"
"體驗","體驗","657.395"
"介紹","介紹","645.656"
"電話","電話","645.656"
"東京都","東京都","633.917"
"日圓","日圓","633.917"
"地區","地區","622.178"
"旅行","旅行","621.125"
"交通","交通","612.361"
"祭典","祭典","612.045"
"河童","河童","610.439"
"網站","網站","610.439"
"活動","活動","598.699"
"美麗","美麗","598.699"
"下車","下車","598.699"
"日文","日文","594.792"
"舉辦","舉辦","586.96"
"服務","服務","575.221"
"價格","價格","551.743"
"北海道","北海道","546.242"
"巴士","巴士","540.482"
"租車","租車","540.003"
"京都","京都","529.244"
"營業時間","營業時間","528.264"
"遊客","遊客","528.264"
"設計","設計","528.264"
"喜歡","喜歡","504.786"
"免費","免費","504.786"
"貓頭鷹","貓頭鷹","469.568"
"店家","店家","462.624"
"遊戲","遊戲","457.829"
"購物","購物","457.829"
"風情","風情","446.09"
"推薦","推薦","446.09"
"美景","美景","444.302"
"島上","島上","434.351"
"觀賞","觀賞","434.351"
"購買","購買","434.351"
"期間","期間","434.351"
"可愛","可愛","422.611"
"官網","官網","422.611"
"步行","步行","411.54"
"抵達","抵達","410.872"
"公尺","公尺","410.524"
"商品","商品","406.952"
"地點","地點","399.133"
"小時","小時","399.133"
"商店","商店","391.107"
"喜愛","喜愛","387.394"
"欣賞","欣賞","387.394"
"出發","出發","375.655"
"行程","行程","374.144"
"美食","美食","372.963"
"前往","前往","367.013"
"觀光客","觀光客","363.915"
"市集","市集","353.847"
"官方網站","官方網站","352.176"
"江戶","江戶","352.176"
"設施","設施","340.437"
"產品","產品","340.437"
"享受","享受","340.064"
"傳統","傳統","328.698"
"煙火","煙火","328.698"
"鐵道","鐵道","328.698"
"地方","地方","317.944"
"電影","電影","316.959"
"聞名","聞名","316.959"
"青森","青森","314.832"
"徒步","徒步","307.757"
"福岡","福岡","305.219"
"餐廳","餐廳","305.219"
"人氣","人氣","305.219"
"提供","提供","304.47"
"到達","到達","293.48"
"時節","時節","293.48"
"機場","機場","293.48"
"滑雪","滑雪","286.319"
"薰衣草","薰衣草","285.394"
"開放","開放","281.741"
"愛麗絲","愛麗絲","281.741"
"時期","時期","281.741"
