"name","word","count"
"旅行","旅行","4793.81"
"台灣","台灣","2653.06"
"旅遊","旅遊","2570.89"
"景點","景點","1913.49"
"路線","路線","1819.58"
"金門","金門","1713.92"
"國家","國家","1526.1"
"體驗","體驗","1244.36"
"歷史","歷史","1115.22"
"行程","行程","1106.51"
"遊客","遊客","986.093"
"活動","活動","962.615"
"搭乘","搭乘","933.724"
"旅程","旅程","926.61"
"規劃","規劃","903.919"
"建築","建築","892.18"
"美麗","美麗","868.701"
"自助","自助","857.278"
"台南","台南","843.551"
"電影","電影","821.744"
"古蹟","古蹟","810.005"
"車站","車站","798.266"
"喜歡","喜歡","798.266"
"公園","公園","786.527"
"日本","日本","785.965"
"出發","出發","774.787"
"準備","準備","763.048"
"美食","美食","755.022"
"服務","服務","692.613"
"欣賞","欣賞","692.613"
"地點","地點","692.613"
"簡單","簡單","680.874"
"歐洲","歐洲","657.395"
"購買","購買","657.395"
"輕鬆","輕鬆","645.656"
"享受","享受","641.631"
"資訊","資訊","622.178"
"住宿","住宿","616.303"
"文化","文化","615.772"
"旅人","旅人","607.068"
"人們","人們","598.699"
"飯店","飯店","598.699"
"問題","問題","575.221"
"旅客","旅客","565.642"
"餐廳","餐廳","551.743"
"美國","美國","551.743"
"東京","東京","540.003"
"咖啡","咖啡","536.846"
"風景","風景","528.264"
"紐西蘭","紐西蘭","528.264"
"套票","套票","524.885"
"需要","需要","521.338"
"城市","城市","508.536"
"巴士","巴士","508.053"
"看見","看見","504.786"
"機會","機會","504.786"
"小時","小時","504.786"
"世界","世界","497.898"
"前往","前往","496.147"
"方式","方式","494.554"
"優惠","優惠","493.047"
"墾丁","墾丁","493.047"
"生活","生活","481.922"
"內容","內容","481.307"
"抵達","抵達","481.307"
"風情","風情","481.307"
"網路","網路","481.307"
"感受","感受","475.685"
"一趟","一趟","472.512"
"相關","相關","469.568"
"園區","園區","469.568"
"火車","火車","469.568"
"出國","出國","457.829"
"夢想","夢想","457.829"
"手機","手機","457.829"
"國外","國外","446.09"
"露營","露營","434.351"
"回憶","回憶","434.351"
"裝備","裝備","434.351"
"建議","建議","434.351"
"護照","護照","422.611"
"觀賞","觀賞","422.611"
"觀光","觀光","422.611"
"熱門","熱門","422.611"
"城堡","城堡","422.397"
"特色","特色","419.128"
"金城","金城","417.329"
"申請","申請","410.872"
"極光","極光","410.872"
"環境","環境","410.872"
"參觀","參觀","410.872"
"咖啡館","咖啡館","399.133"
"生態","生態","399.133"
"遊玩","遊玩","399.133"
"旅伴","旅伴","396.864"
"朋友","朋友","391.756"
"美景","美景","388.764"
"豐富","豐富","387.394"
"狀況","狀況","387.394"
"地方","地方","384.183"
